module_name,class_name,candidate_group,direct_param_count,has_weight,weight_shape,direct_param_dtypes
model.thinker.audio_tower.layers.11.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.11.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.11.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.11.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.11.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.11.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.12,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.12.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.12.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.12.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.12.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.12.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.12.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.12.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.12.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.12.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.12.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.13,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.13.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.13.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.13.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.13.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.13.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.13.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.13.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.13.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.13.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.13.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.14,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.14.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.14.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.14.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.14.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.14.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.14.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.14.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.14.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.14.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.14.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.15,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.15.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.15.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.15.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.15.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.15.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.15.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.15.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.15.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.15.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.15.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.16,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.16.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.16.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.16.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.16.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.16.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.16.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.16.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.16.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.16.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.16.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.17,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.17.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.17.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.17.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.17.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.17.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.17.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.17.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.17.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.17.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.17.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.18,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.18.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.18.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.18.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.18.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.18.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.18.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.18.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.18.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.18.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.18.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.19,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.19.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.19.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.19.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.19.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.19.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.19.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.19.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.19.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.19.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.19.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.20,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.20.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.20.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.20.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.20.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.20.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.20.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.20.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.20.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.20.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.20.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.21,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.21.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.21.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.21.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.21.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.21.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.21.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.21.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.21.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.21.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.21.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.22,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.22.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.22.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.22.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.22.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.22.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.22.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.22.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.22.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.22.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.22.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.23,Qwen3ASRAudioEncoderLayer,,0,False,,
model.thinker.audio_tower.layers.23.self_attn,Qwen3ASRAudioAttention,,0,False,,
model.thinker.audio_tower.layers.23.self_attn.k_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.23.self_attn.v_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.23.self_attn.q_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.23.self_attn.out_proj,Linear,attention_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.layers.23.self_attn_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.layers.23.activation_fn,GELUActivation,,0,False,,
model.thinker.audio_tower.layers.23.fc1,Linear,mlp_projection,4198400,True,4096x1024,float16
model.thinker.audio_tower.layers.23.fc2,Linear,mlp_projection,4195328,True,1024x4096,float16
model.thinker.audio_tower.layers.23.final_layer_norm,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.ln_post,LayerNorm,,2048,True,1024,float16
model.thinker.audio_tower.conv2d1,Conv2d,speech_conv,4800,True,480x1x3x3,float16
model.thinker.audio_tower.conv2d2,Conv2d,speech_conv,2074080,True,480x480x3x3,float16
model.thinker.audio_tower.conv2d3,Conv2d,speech_conv,2074080,True,480x480x3x3,float16
model.thinker.audio_tower.conv_out,Linear,speech_projection,7864320,True,1024x7680,float16
model.thinker.audio_tower.proj1,Linear,speech_projection,1049600,True,1024x1024,float16
model.thinker.audio_tower.act,GELUActivation,,0,False,,
model.thinker.audio_tower.proj2,Linear,speech_projection,2099200,True,2048x1024,float16
model.thinker.model,Qwen3ASRThinkerTextModel,,0,False,,
model.thinker.model.embed_tokens,Embedding,,311164928,True,151936x2048,float16
model.thinker.model.layers,ModuleList,,0,False,,
model.thinker.model.layers.0,Qwen3ASRThinkerTextDecoderLayer,,0,False,,
model.thinker.model.layers.0.self_attn,Qwen3ASRTextAttention,,0,False,,
model.thinker.model.layers.0.self_attn.q_proj,Linear,attention_projection,4194304,True,2048x2048,float16
model.thinker.model.layers.0.self_attn.k_proj,Linear,attention_projection,2097152,True,1024x2048,float16
model.thinker.model.layers.0.self_attn.v_proj,Linear,attention_projection,2097152,True,1024x2048,float16
model.thinker.model.layers.0.self_attn.o_proj,Linear,attention_projection,4194304,True,2048x2048,float16
model.thinker.model.layers.0.self_attn.q_norm,Qwen3ASRTextRMSNorm,,128,True,128,float16
model.thinker.model.layers.0.self_attn.k_norm,Qwen3ASRTextRMSNorm,,128,True,128,float16
model.thinker.model.layers.0.mlp,Qwen3ASRTextMLP,,0,False,,
model.thinker.model.layers.0.mlp.gate_proj,Linear,mlp_projection,12582912,True,6144x2048,float16
model.thinker.model.layers.0.mlp.up_proj,Linear,mlp_projection,12582912,True,6144x2048,float16
model.thinker.model.layers.0.mlp.down_proj,Linear,mlp_projection,12582912,True,2048x6144,float16
model.thinker.model.layers.0.mlp.act_fn,SiLUActivation,,0,False,,
model.thinker.model.layers.0.input_layernorm,Qwen3ASRTextRMSNorm,,2048,True,2048,float16
model.thinker.model.layers.0.post_attention_layernorm,Qwen3ASRTextRMSNorm,,2048,True,2048,float16
model.thinker.model.layers.1,Qwen3ASRThinkerTextDecoderLayer,,0,False,,
model.thinker.model.layers.1.self_attn,Qwen3ASRTextAttention,,0,False,,
model.thinker.model.layers.1.self_attn.q_proj,Linear,attention_projection,4194304,True,2048x2048,float16
model.thinker.model.layers.1.self_attn.k_proj,Linear,attention_projection,2097152,True,1024x2048,float16
model.thinker.model.layers.1.self_attn.v_proj,Linear,attention_projection,2097152,True,1024x2048,float16
